,Title_Don,Title_Jonkheer,Title_Officer,Title_Master,Title_Sir,Title_Mr,Title_Miss,Title_Mrs,Age,Sex,Fare,Pclass,Deck,FamilySize,IsAlone,Embarked_Q,Embarked_S,Survived
0,0,0,0,0,0,1,0,0,-0.5345909152096044,0,2.1102132003465894,3,0,1,0,0,1,0
1,0,0,0,0,0,0,0,1,0.6680165716067701,1,4.2805931204649,1,3,1,0,0,0,1
2,0,0,0,0,0,0,1,0,-0.23393904350551084,1,2.188856327665703,3,0,0,1,0,1,1
3,0,0,0,0,0,0,0,1,0.44252766782869984,1,3.9908341858524357,1,3,1,0,0,1,1
4,0,0,0,0,0,1,0,0,0.44252766782869984,0,2.2027647577118348,3,0,0,1,0,1,0
5,0,0,0,0,0,1,0,0,-0.30910201143153426,0,2.246892662898172,3,0,0,1,1,0,0
6,0,0,0,0,0,1,0,0,1.8706240584231446,0,3.967694202798607,1,5,0,1,0,1,0
7,0,0,0,1,0,0,0,0,-2.0378502737300725,0,3.0944457464900235,3,0,4,0,0,1,0
8,0,0,0,0,0,0,0,1,-0.15877607557948742,1,2.495953738718064,3,0,2,0,0,1,1
9,0,0,0,0,0,0,0,1,-1.1358946586177918,1,3.436268471383741,2,0,1,0,0,0,1
10,0,0,0,0,0,0,1,0,-1.8875243378780258,1,2.8735646395797834,3,7,2,0,0,1,1
11,0,0,0,0,0,0,1,0,2.1712759301272384,1,3.3160025355989236,1,3,0,1,0,1,1
12,0,0,0,0,0,1,0,0,-0.6849168510616512,0,2.2027647577118348,3,0,0,1,0,1,0
13,0,0,0,0,0,1,0,0,0.7431795395327935,0,3.4742929367327062,3,0,6,0,0,1,0
14,0,0,0,0,0,0,1,0,-1.1358946586177918,1,2.180891922715322,3,0,0,1,0,1,0
15,0,0,0,0,0,0,0,1,1.945787026349168,1,2.833213344056216,2,0,0,1,0,1,1
16,0,0,0,1,0,0,0,0,-2.0378502737300725,0,3.405355391810819,3,0,5,0,1,0,0
17,0,0,0,0,0,1,0,0,0.0667128281985828,0,2.6390573296152584,2,0,0,1,0,1,1
18,0,0,0,0,0,0,0,1,0.1418757961246062,1,2.9444389791664403,3,0,1,0,0,1,0
19,0,0,0,0,0,0,0,1,-0.5721723991726162,1,2.1071782966514356,3,0,0,1,0,0,1
20,0,0,0,0,0,1,0,0,0.44252766782869984,0,3.295836866004329,2,0,0,1,0,1,0
21,0,0,0,0,0,1,0,0,0.36736469990267645,0,2.6390573296152584,2,4,0,1,0,1,1
22,0,0,0,0,0,0,1,0,-1.0607316906917683,1,2.2004637699272855,3,0,0,1,1,0,1
23,0,0,0,0,0,1,0,0,-0.08361310765346401,0,3.597312260588446,1,1,0,1,0,1,1
24,0,0,0,0,0,0,1,0,-1.5868724661739322,1,3.0944457464900235,3,0,4,0,0,1,0
25,0,0,0,0,0,0,0,1,0.6680165716067701,1,3.4777725458882283,3,0,6,0,0,1,1
26,0,0,0,0,0,1,0,0,-0.30910201143153426,0,2.1071782966514356,3,0,0,1,0,0,0
27,0,0,0,0,0,1,0,0,-0.7600798189876746,0,5.575949103146316,1,3,5,0,0,1,0
28,0,0,0,0,0,0,1,0,-0.5721723991726162,1,2.1837114628556327,3,0,0,1,1,0,1
29,0,0,0,0,0,1,0,0,-0.30910201143153426,0,2.1855792552411137,3,0,0,1,0,1,0
30,1,0,0,0,0,0,0,0,0.8183425074588169,0,3.357621598945279,1,0,0,1,0,0,0
31,0,0,0,0,0,0,0,1,0.44252766782869984,1,4.993969182787072,1,2,1,0,0,0,1
32,0,0,0,0,0,0,1,0,-0.5721723991726162,1,2.169053700369523,3,0,0,1,1,0,1
33,0,0,0,0,0,1,0,0,2.7725796735354256,0,2.4423470353692043,2,0,0,1,0,1,0
34,0,0,0,0,0,1,0,0,-0.08361310765346401,0,4.420896324687287,1,0,1,0,0,0,0
35,0,0,0,0,0,1,0,0,0.9686684433108637,0,3.970291913552122,1,0,1,0,0,1,0
36,0,0,0,0,0,1,0,0,-0.30910201143153426,0,2.1076888046179385,3,0,0,1,0,0,1
37,0,0,0,0,0,1,0,0,-0.6097538831356278,0,2.2027647577118348,3,0,0,1,0,1,0
38,0,0,0,0,0,0,1,0,-0.8352427869136981,1,2.9444389791664403,3,0,2,0,0,1,0
39,0,0,0,0,0,0,1,0,-1.1358946586177918,1,2.5048481563289,3,0,1,0,0,0,1
40,0,0,0,0,0,0,0,1,0.8183425074588169,1,2.348991465808201,3,0,1,0,0,1,0
41,0,0,0,0,0,0,0,1,-0.15877607557948742,1,3.091042453358316,2,0,1,0,0,1,0
42,0,0,0,0,0,1,0,0,-0.30910201143153426,0,2.1855792552411137,3,0,0,1,0,0,0
43,0,0,0,0,0,0,1,0,-1.9626873058040493,1,3.7513658711253766,2,0,3,0,0,0,1
44,0,0,0,0,0,0,1,0,-0.7600798189876746,1,2.1837114628556327,3,0,0,1,1,0,1
45,0,0,0,0,0,1,0,0,-0.30910201143153426,0,2.2027647577118348,3,0,0,1,0,1,0
46,0,0,0,0,0,1,0,0,-0.30910201143153426,0,2.803360380906535,3,0,1,0,1,0,0
47,0,0,0,0,0,0,1,0,-0.5721723991726162,1,2.169053700369523,3,0,0,1,1,0,1
48,0,0,0,0,0,1,0,0,-0.30910201143153426,0,3.1214482048688246,3,0,2,0,0,0,0
49,0,0,0,0,0,0,0,1,-0.8352427869136981,1,2.9338568698359038,3,0,1,0,0,1,0
50,0,0,0,1,0,0,0,0,-1.6620354340999555,0,3.705920919968788,3,0,5,0,0,1,0
51,0,0,0,0,0,1,0,0,-0.6097538831356278,0,2.174751721484161,3,0,0,1,0,1,0
52,0,0,0,0,0,0,0,1,1.4948092187930275,1,4.353230991152628,1,4,1,0,0,0,1
53,0,0,0,0,0,0,0,1,-0.008450139727440605,1,3.295836866004329,2,0,1,0,0,1,1
54,0,0,0,0,0,1,0,0,2.697416705609402,0,4.142804513146981,1,2,1,0,0,0,0
55,0,0,0,0,0,1,0,0,0.8183425074588169,0,3.597312260588446,1,3,0,1,0,1,1
56,0,0,0,0,0,0,1,0,-0.6097538831356278,1,2.4423470353692043,2,0,0,1,0,1,1
57,0,0,0,0,0,1,0,0,-0.04603162369045231,0,2.1076888046179385,3,0,0,1,0,0,0
58,0,0,0,0,0,0,1,0,-1.8123613699520025,1,3.3586377672433594,2,0,3,0,0,1,1
59,0,0,0,1,0,0,0,0,-1.361383562395862,0,3.8691155044168695,3,0,7,0,0,1,0
60,0,0,0,0,0,1,0,0,-0.5345909152096044,0,2.1076888046179385,3,0,0,1,0,0,0
61,0,0,0,0,0,0,1,0,0.6680165716067701,1,4.394449154672439,1,2,0,1,0,1,1
62,0,0,0,0,0,1,0,0,1.194157347088934,0,4.436455632600354,1,3,1,0,0,1,0
63,0,0,0,1,0,0,0,0,-1.8875243378780258,0,3.3638415951183864,3,0,5,0,0,1,0
64,0,0,0,0,0,1,0,0,0.8183425074588169,0,3.357621598945279,1,0,0,1,0,0,0
65,0,0,0,1,0,0,0,0,-0.30910201143153426,0,2.7878344138303452,3,0,2,0,0,0,1
66,0,0,0,0,0,0,0,1,-0.008450139727440605,1,2.4423470353692043,2,6,0,1,0,1,1
67,0,0,0,0,0,1,0,0,-0.7600798189876746,0,2.2146605719425225,3,0,0,1,0,1,0
68,0,0,0,0,0,0,1,0,-0.9104057548397215,1,2.188856327665703,3,0,6,0,0,1,1
